,text
77,"Code Red,,,
Two cases of #coronavirus confirmed in Ghana 🇬🇭 
#coronavirusghana
#coronavirus
#COVID19"
78,What a wierd day. All of this feels like a movie. #coronavirus
79,"Coronavirus is just a cold, but like when a guy gets a cold.#CoronaOutbreak #coronavirus #Coronavirustexas"
80,"Bad news for football fans, as @ChelseaFC's Callum Hudson-Odoi also tests positive for #Coronavirus!… https://t.co/VTA9N4AK1J"
81,"---
Warren talks about the decision to close Stout PGH in Response to the “corona virus” Pandemic and how members c… https://t.co/nlobifKTvT"
82,Pierre Trudeau's wife has tested postive for #Coronavirus..#Canada..#Trudeau..
83,"How canceled events and self-quarantines save lives, in one chart - Vox #CoronaVirus https://t.co/yKcdxmKUzf"
84,"1) Freeze everything finically. 

2) Give all Americans 14 days to self quarantine.

3) Reevaluate afterwards.… https://t.co/9bZ6O88WTa"
85,Ellis Medicine confirms that a vendor visited their campuses who later tested positive for #coronavirus leading to… https://t.co/5ulG9xyFqW
86,"zomg....even Alaska has fallen for the Democrat #coronavirus hoax

#Covid19 

https://t.co/yHMrZSOmDu"
87,This whole #coronavirus just sucks
88,Should you be Scared about Coronavirus? @ScottSDMitchell on the good and the bad and everything in between… https://t.co/ldUcqMHoo1
89,"French President Macron urges people over 70 to stay at home over #coronavirus 
#CoronavirusPandemic"
90,"BREAKING: Canada PM Justin Trudeau’s wife Sophie has tested positive for the #coronavirus, the government says. 

M… https://t.co/EAwP8RA4sF"
91,"While we would never downplay the severity of the #Coronavirus situation, the international media’s frenzy to cover… https://t.co/XwtatadAoK"
92,This #coronavirus is getting closer to home. https://t.co/9NeWAXRn2Q
93,"@PamelaGeller I have learned in the past that medical testing often fails, takes too long or just generates more te… https://t.co/LDfGAepmrB"
94,Trudeaus wife tested positive #CoronavirusPandemic #coronavirus
95,"LETSAH GOOOOO!!!
.
.
.
#MAMAMIA #spicymeatballs #corona #coronavirus #news #italy #worldwide #outbreak #usa… https://t.co/umhFz82Sxb"
96,"@realDonaldTrump 🇺🇸 President @realDonaldTrump: ""The future does not belong to #Globalists; it belongs to #Patriots… https://t.co/qFVlcLW14A"
97,Right now on The Valley's FOX at 10: What we know about a case of the #coronavirus in #Harrisonburg. Some local sch… https://t.co/5Zrv0CJo7V
98,I have recorded an episode of White and Gold Nation with my thoughts on the #Coronavirus impact on Georgia Tech and… https://t.co/DZKOiTVtJi
