,text
89,"#Qasem_Soleimani &amp; #abumahdialmuhandis were, and remain to be my hero for fighting &amp; defeating terrorists of #ISIS… https://t.co/V7VXb7GDmu"
90,@RepBrianMast Thanks sir! I am very grateful for your words on Islamic Republic “in” Iran and the terrorist… https://t.co/gRtTWTFZvL
91,The conflict with Iran is 40 years old &amp; has considerably worsened with #Trump’s hostile policy—first by withdrawin… https://t.co/vKwcH1GQc7
92,Is South America Where #Iran Will Avenge Soleimani's Assassination? (Dr. Mandel's latest article published in The H… https://t.co/HNnVYC5nmg
93,"World in 1 month🌎
1 #Earthquake -Turkey
2 #Soleimani killed -Iraq
3 #USvsIran Tension
4 #WWIIl Threat  
5… https://t.co/o1k8X8DfHw"
94,"@najahmali I missed them more than I can say ....
#Soleimani #abumahdialmuhandis 
#Iraq &amp; #Iran #bothers forever"
95,"@EliClifton I agree, then they yank #Soleimani posts while letting MEK run free. @omidkordestani"
96,"@realDonaldTrump Why #Soleimani  wasn't terrorist?
1.when #ISIS attacked Syria and Iraq, two governments requested… https://t.co/BAm6YJRTOl"
97,"#Iraq #Iran 

The MSM continues to present our choices in #Iraq as binary.  Cut and run or do what we have done sin… https://t.co/vqMZDm7FOC"
98,Excellent article by friend and former classmate @soliman91. He expertly lays out post-#Soleimani strike where… https://t.co/QW0ebkd3aG
99,"‘Defense Department statistics, since 2000 more than 370,000 servicemembers have been diagnosed with traumatic brai… https://t.co/5uDlJOKush"
100,@T_S_P_O_O_K_Y @AmbJohnBolton @realDonaldTrump @MailOnline I'd heard @realDonaldTrump kille #Soleimani as a parting… https://t.co/381ggTDxgS
101,Superb work on this thread regarding the killing of #Soleimani by @HeshmatAlavi . Brilliant! Thanks Heshmat! 👍👇👇👇 https://t.co/0uA58FkMeT
102,Apparently #ISIS has a new leader they want us all to know about. Looking forward to @realDonaldTrump giving him the full #Soleimani
103,#Trump’s lies &amp; #Government #bots on #socialmedia artificially stimulating groupthink https://t.co/bkecQIuyqG #Iran… https://t.co/O4MZdRHxJC
104,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/w69oj8fcLK
#FreeIran"
105,"Last  time CIA suffered this many tit for tat assassinations
they had to ban CIA assassinations #Soleimani https://t.co/eJjhI6SPZG"
106,"Israeal will loose the SOLEIMAN earth with eliminating General Soleimani. Wait and see...
#Soleimani 
#SoleimaniIsLive
#25years"
107,"This is why the Peace Plan wasn't revealed until after the #Soleimani assassination. The US wanted to win ""hearts a… https://t.co/VCFGx4dAmR"
108,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/3zUsG53xIW
#FreeIran"
109,"@CIA TELL US! IS THIS INFORMATION TRUE?

#RUSSIA claimed that ""AYATOLLAH MIKE"" Michael D'Andrea, the #US intelligen… https://t.co/WIjcgLT2Ep"
110,'Historic Step': House Votes to Repeal 2002 #Iraq #AUMF #Trump Used to Justify #Soleimani #Assassination https://t.co/QI1gneJkLP
111,@David67845265 #Iranians will celebrate his death much more than the death of #Soleimani.  #jimmycarter for ever wi… https://t.co/zFuThImwhV
112,Seems we were lied to again by this Admin when they told us there were no injuries. #DonnytheCheater even tried to… https://t.co/sJ5kQE8zoX
113,"#Soleimani was a terrorist who planned, supplied, &amp; took part in the killing of US Troops. He promoted terrorist at… https://t.co/GtQmJ3OyUe"
114,"@jimmieakesson #Iran : Michael D’ Andrea, the head of US intelligence operations against #Iraq, #Iran and responsib… https://t.co/8hBR89yGAK"
115,"#Trump’s ill-fated decision to assassinate #Soleimani further strained the already tense relations with Iraq, allow… https://t.co/Ck0RqXYnnR"
116,@SenSasse You and I both know #Trump Killed #Soleimani JUST to satisfy #QuidProQuo w #Israel His BFF Netanyahu. #GOPCoverup #GOPCorruption
117,"@iran_policy-#Iran: HQ to ""Execute #Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched… https://t.co/RME6VYd6Sl"
118,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/QEj7afMGZt
#FreeIran"
119,"We went from “all is well” and “nobody’s hurt” to 11 injuries, then 34, then 50, and now 64 US troops have been dia… https://t.co/tX6i0Tc7is"
120,"@realDonaldTrump Plus, the elimination of World Most Wanted Terrorists

❌ #Baghdadi 
❌ #Soleimani
❌ #AbuMahdialMuhandis"
121,Report: #Obama Thwarted #Israeli Plan to Kill #Soleimani in #2015 by #Leaking Details to #Iran  https://t.co/eibMuZZuwI   #TreasonousObama?
122,"Time to impeach Trump for violation of the #emoluments clause, corruption &amp; war crimes...most recently killing… https://t.co/fY81rIyhjz"
123,How about all the families of the  innocent  lost to soleimani’s futile expansion plan demand the same !!!… https://t.co/ToZwBhfj1G
124,"it’s clearly a joke right ?
I mean this picture doesn’t make sense what is happening ?

Why in the world the head o… https://t.co/YwgFaH1ukZ"
125,"Following the assassination of Iranian General #Soleimani earlier this month, @UofHaifa's Rear Admiral Prof. Shaul… https://t.co/dloJmMQ5Sg"
126,"@mattgaetz No your DICKtator in Chief has already done that.

#Soleimani 
#ImpeachmentHearing 

Mugshot Matt https://t.co/KYAeAwWgl9"
127,"Is the US looking to install a dictator in Iraq? #trump #IraqProtests #IranVSAmerica #Soleimani 
https://t.co/zP5SJbs6Ba"
128,"The Death of “Dark Prince” ""Ayatollah Mike"" D’Andrea @CIA Mid-East Chief &amp; Murderer of General #Soleimani is Confir… https://t.co/S4IYMTOd3V"
129,"US Announces Three New Bases In Iraq After Iraqis Demand Full Withdrawal

The three sites chosen for the news bases… https://t.co/Wtq1kARA6s"
130,Pentagon now says 64 US troops injured in #Iran attack - https://t.co/0xUnNhtVjd #Iraq #Soleimani https://t.co/joT3T5g2m3
131,#Soleimani Ultimate Revenge - The Atlantic   ⁦@RUCSRR⁩  https://t.co/QaNrwa6TfD
132,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/k50Fk2PWkZ

#FreeIran"
133,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched… https://t.co/O2niIgJcaA"
134,Killing Qassem #Soleimani has antagonized #Tehran even if the #Iranian regime appears to be standing down for now. https://t.co/JlHgfKG0JO
135,"@SecPompeo ""DearPres.#TRUMP You did a great job&amp;it will take years4people to understand how much you love #America&amp;… https://t.co/nEcJwxbBS8"
136,"@usaf Russian sources:“Assassin of #Soleimani was on the CIA E-11A plane that was shot down.""
Russian media and Ira… https://t.co/KDxCE4jPay"
137,and i'm still wondering what else 2020 will be hiding for us..  #ww3 #coronavirus #soleimani #lassavirus #australianbushfire
138,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/rapgJX6bFB
#FreeIran"
139,"""Quds Force-supported Hezbollah operatives are stationed in cities across America...""!! #Soleimani #USA #Iran… https://t.co/Zi1foA7eIS"
140,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/kljAogCoce
#FreeIran"
141,"@usaf #Breaking
Russian sources:“CIA senior officer Michael D’Andrea, assassin of #Soleimani was on the CIA E-11A p… https://t.co/iUlWQ4kT9f"
142,"4/It shld b mentioned, btw that #Dotard ordered #Soleimani killed AFTER WH received #boltonmanuscript #wagthedog Of… https://t.co/UsFP1Ubx21"
143,"2/An NBC News review of the events surrounding #Soleimani strike &amp; Iranian response, based on interviews w more tha… https://t.co/voxkFSDTAT"
144,"After Soleimani killing, US braced for Iranian drone and missile strikes. An NBC News review of the events surround… https://t.co/k0PVp5jq5U"
145,"@iran_policy @iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torc… https://t.co/79PvdrlyP5"
146,"Why did the killing of #Soleimani made the Democratic and Human Rights Org. get angry, and what does that have to d… https://t.co/BbLnD7Gx9H"
147,"To be clear &amp; without reading Iraq medical records, #TBI #traumaticbraininjury is the term for a wide range of conc… https://t.co/PGhzsgGnKa"
148,"Pentagon raises number of US troops injured in #Iran missile attack to 64
https://t.co/5zxYrjNwir #Iraq #Soleimani"
149,"Service members with brain injurys from the #Iranian strike at the #Iraqi airbase:

Jan 8:   0
Jan 16: 11
Jan 24: 3… https://t.co/mhWzjFfVIl"
150,"@AWAKEALERT  Funny how CIA planes keep dropping like flies, that's the problem with assassinating  #Soleimani #IRAN… https://t.co/ZZw7AE1yru"
151,"@rcooley123 Killing #Soleimani didn’t do it.  Now we have to see what trump is going to offer this traitor 

#BoycottBoltonsBook"
