,text
80,"#coronavirus patient treated in Mountain View

https://t.co/WT0lS9M6W3"
81,"The phrase u do not want to hear is ""unknown origin"" because that is the kind of #Coronavirus case that is most lik… https://t.co/WKu9Sdl21x"
82,@TRUMPSUSAMAGA @rockon451 @SpeakerPelosi The #democrats are going to be burried in the next #US election. It's a wo… https://t.co/narIeuat9q
83,"This has to spread like the #Coronavirus - but in good.

Thanks to @ClarkeMicah https://t.co/yd726MHcJD"
84,How long until #Cult45 starts saying the first person to die from #Coronavirus in the #US is a #hoax and a… https://t.co/tt7zqFzsen
85,Overheard at @cbsnews: “I didn’t even shake @DrLaPook’s hand today. We should all be doing elbow bumps instead.” #Coronavirus
86,“Death is a natural part of life.... Mourn them do not. Miss them do not. Attachment leads to jealously. The shadow… https://t.co/LJ77dPb3zQ
87,"2002 - Had a real government.

2004 - real government.

2005, 2009, 2014, 2016 - real government.

2020 - governmen… https://t.co/pWksVjlUQf"
88,#coronavirus government won't protect your family it's now up to you.....save your family.
89,Washington State Governor Jay Inslee released a statement on the death of a Washington state man from the… https://t.co/5rbMVN5dlD
90,Great video to share with your family or friends who are in a panic over #coronavirus https://t.co/jRlxjbGZoC
91,"In 2019, an estimated 38,800 people lost their lives to car crashes.

#Coronavirus"
92,Officials have reported the 1st US coronavirus death in Washington state.  https://t.co/pUSGbRA3OU #Coronavirus #US #Health #DigitalFirst
93,Department of Health confirms first #coronavirus death in #Washington state  https://t.co/zFHpnxevjA
94,"CROWS FOLLOW DEATH.
Crows crowded on the Wusi Road, Chengxi District, Wuhan City, Qinghai Province. Crows love dead… https://t.co/abByqCX98r"
95,Humanist (?!) Europe Countries are now shutting their borders in the refugees' faces. Where are human rights when i… https://t.co/xfhA3pypp6
96,"This virus is already widespread, extremely contagious and severely impacting our world but we will be unsuccessful… https://t.co/DQUaf695l7"
97,@tedlieu @realDonaldTrump Only democrats will die from the #coronavirus - right?
98,"Washington state confirms first U.S. death from #coronavirus. World there are 2,933 confirmed deaths."
99,"The US has reported its first death from the #coronavirus in Washington State.

“It is a sad day in our state as we… https://t.co/WhXT5kz6ZF"
100,@eugenegu No infected #coronavirus patients had previously been  reported in #kingcounty which begs the question if… https://t.co/SNtESCNmKY
101,"After calling #coronavirus a hoax at his rally in South Carolina, what can #Trump do to regain credibility and calm… https://t.co/sO8EtkF3Cl"
102,I’m somewhat mad at the media for the reporting on the #coronavirus All they know is someone died of it in Washingt… https://t.co/auy8y9hSxj
103,Global National and Dawna Friesen @DFriesenGlobal @GlobalNational WHEN did the US become the second largest economy… https://t.co/40eb9DqWAZ
104,“This is the head of the U.S. Public Health Service. So far I’ve been shut out of the government response to the… https://t.co/si6dmcTNcz
105,So @CNN just said that the death of the 1st #Coronavirus patient was a patient who was never even announced as bein… https://t.co/maqEVcUcMr
106,First #coronavirus death in US confirmed. https://t.co/cXzZ16n3xk
107,"Some idiot just called in and said, ""Why don't you do exactly what you're already doing?""

Honestly, fuck off Faceb… https://t.co/aPOJphwvqZ"
108,@billritter7 First that weee being told #CoronaVirus #Too #Little #TooLate #Pandemic #GodBlessAmerica #🇺🇸 🙏🙏🙏🙏🙏🙏
109,Me after seeing that Coronavirus killed somebody in Washington but it wasn't Donald Trump: #Coronavirus https://t.co/icQkXoDMEh
110,"Yoga and chill! It might not help #coronavirus but atleast will help
Keep you calm and stop panicking"
111,"@SethAbramson @feelsyoung Some hoax? Morons @realDonaldTrump @larry_kudlow 

BREAKING: The U.S. reported its first… https://t.co/2qnU4x6tQF"
112,"US reports first death from the deadly #coronavirus in the state of Washington.
#COVID19US #COVID19… https://t.co/ypVvfiJOfY"
113,"If the #CoronaVirus is a #hoax, are fake people dying?"
114,"Now that the first US citizen has died from #Coronavirus, is it still a hoax? #CoronavirusCoverup https://t.co/n0kHQ8vH6a"
115,"""The best option is soap and water.     💦🧼 According to a 2019 study by  @ASMicrobiology, using running water and s… https://t.co/lisczk3vUQ"
116,With you from 1830GMT as we wait for US news conference with #Trump on #coronavirus #COVID19 Also coming up… https://t.co/RaiAOZChEu
117,Get up! Stop faking! Trump said coronavirus is a hoax. Stop playing around. It’s all just a liberal trick to break… https://t.co/91gLbT0OQM
118,"Just went through a west coast US Homeland Security airport border crossing, which requires putting ALL TEN fingers… https://t.co/SrujG1eA0k"
119,#CoronaVirus is about to put telecommuting and virtual/tele presence to the test around the world.
120,"At the gym on Thursday a woman told me that #coronavirus is a ""biological weapon"" created by China. The origin of t… https://t.co/ExG91D9Nlu"
