,text
146,A second Utahn tests positive for the #coronavirus in Japan https://t.co/TwaVuCsyfy #CoronaVtj https://t.co/XvqltdBmhR
147,@financialpost Are the curtains impenetrable to #coronavirus though?  🤪
148,@Califgal49 @wcsek @fastlerner Where are the scientists? Let the doctors speak! #Coronavirus #CoronaVirusTaskForce
149,I’m traveling to france this month gotta take precautions #CoronaVirus https://t.co/7sHnF5AOor
150,"Are you worried about the #coronavirus #outbreak? Try our coronavirus checker. 
⁠
Download our app to try it out. I… https://t.co/9nyizBEGoA"
151,"China has made progress in curing patients of the novel coronavirus disease (COVID-19) 
@China Xinhua News… https://t.co/D29B8q9ozz"
152,"Major food &amp; grocery players are cancelling travel to #ExpoWest because of #coronavirus. Not sure what's scarier, t… https://t.co/jI2sxBanbM"
153,Space images reveal drastic fall in pollution over China as factories closed due to #coronavirus… https://t.co/iYDpkIGY5U
154,"#Coronavirus and China's Tax Response

@TaxStew interview Daisy Dai, a professor in Shanghai, about life in China u… https://t.co/WPuZzRB0gO"
155,"Oh FFS!

On COVID-19, Trump: “This is their new hoax.”

#Coronavid19 #coronavirus #COVID2019… https://t.co/9nibxvADES"
156,"#coronavirus 
#TrumpCrash 
#TrumpNotFitForOffice 
Too late it's already happening #FakePresident https://t.co/ARuw6Xa0rB"
157,I bought canned goods and $500 worth of AppStore gift cards in preparation for #coronavirus
158,BREAKING: 35 new coronavirus deaths in China.#coronavirus #COVID2019
159,"@Mike_Pence @realDonaldTrump Then, he’d better stop saying the #Coronavirus is a hoax!"
160,"Oh #Amazon 'feeding the fear'... Tells 800,000 Employees to Avoid Domestic, International Travel over #Coronavirus… https://t.co/rI0cN13Id1"
161,#China factory index hits record low on #coronavirus https://t.co/nd6kqPa0mm via @financialtimes
162,China learned weeks ago that suppressing communications about #coronavirus was not a good strategy. Hoping other go… https://t.co/WTM40fHEZA
163,"To contain the coronavirus, Japan's government wants to close all schools for the rest of the term. That could affe… https://t.co/G49l6dhqIg"
164,"#CoronaVirus affects

#Airlines and allied Businesses
#Hotels and allied Businesses
#Tourism and allied Businesses,… https://t.co/OlBcJV47JN"
165,"Wow! This is scary, first #Coronavirus death in U S
Washington state declares emergency after first patient dies fr… https://t.co/9SgKC9HTCW"
166,#coronavirus 🦠 intervention task force 🌡😷 https://t.co/ifn2rOS3Pd
167,"⚠️ Coronavirus Update ⚠️

🕛 2020-03-01 00:00 UTC

☣️ 86,013 cases (+16)
❓ 851 suspected (-567)
💀 2,941 dead
✅ 39,78… https://t.co/ShM54Rhldf"
168,Relying upon a garden in hard times is just common sense - we can stretch our funds further when we eat what we gro… https://t.co/qlqJSmvAKc
169,Almost all of the cyclists have been cleared to leave the hotel—they were under quarantine while waiting for the te… https://t.co/nzXoX25nRW
170,"@BebeRexha your response you deserve my dear about your @amazon purchase, it got buried.

#coronavirus #hoax #Purge… https://t.co/UxElk5xNdT"
171,#Germany would be in a position to enact a fiscal stimulus package should the #coronavirus spark a global economic… https://t.co/MEeE3hcaVw
172,FACT CHECK: Did Trump Call The Coronavirus A ‘Hoax’ At His South Carolina Rally? https://t.co/vX53t3FCdS… https://t.co/jTnNWDaCVL
173,@FrankFigliuzzi1 @NBCNews Did Trump Administration HHS Overriding CDC infectious disease protocols cause spread to… https://t.co/mUph7dLLKc
174,CMS develops specific billing code for coronavirus test https://t.co/yDx2veMIW3 via @HC_Finance #coronavirus
175,Four #children infected with #coronavirus in #Germany https://t.co/SykrlHqyxc
176,"He says New York has received approval to conduct its own tests for the #coronavirus, a move aimed at providing qui… https://t.co/wSzVPN2gjh"
177,"He says New York has received approval to conduct its own tests for the #coronavirus, a move aimed at providing qui… https://t.co/q4gFSel5a5"
178,"For the first time since the #coronavirus outbreak began, the FDA has reported a shortage of a medicine due to a ma… https://t.co/yUEl6bDK4S"
179,"He says New York has received approval to conduct its own tests for the #coronavirus, a move aimed at providing qui… https://t.co/Y7l4jRmwU7"
180,"He says New York has received approval to conduct its own tests for the #coronavirus, a move aimed at providing qui… https://t.co/xIz35DEKUR"
181,Harding University Closes Florence Campus Due to Coronavirus Concerns. Listen here for more information:… https://t.co/zgqn9Qby2Y
182,We should look at the cases that survived to better assess risks and impact. Based on our conversation this weekend… https://t.co/boPTjwB4Hz
