,text
67,"#Benghazi will NOT go away until we see JUSTICE.
#Democrats would not defend the Americans who were killed.… https://t.co/Cw876Hvvxy"
68,U.S. Democrats' Defense Of Slain #IRGC #Qods Force Commander Qassem #Soleimani Has Crossed The Line: https://t.co/JX27o9Cd4w
69,"Iranian Americans at @HouseForeign  hearing, and their families in Iran R more safe by the elimination of terrorist… https://t.co/kBoXXsYPF3"
70,"@RepEspaillat @cspan @HouseForeign WOW! 

The killing of 600+ American soldiers and the devastating injuries with l… https://t.co/fLTfyRSI4D"
71,"Cheap shots by Rep. Brian Mast at Democrats during the interview of SOS Pompeo. Let me ask you Mast, when’d you sto… https://t.co/F1G6hoe1Vg"
72,"@HouseForeign @SecPompeo WOW! 

The killing of 600+ American soldiers and the devastating injuries with loss of lim… https://t.co/TXBheffE3V"
73,".@afixler in @CTCWP:
Will Iran Retaliate for #Soleimani’s Death with Cyberattacks?

The U.S. government, private se… https://t.co/GBF1LBDVsx"
74,Iranaian Americans at @HouseForeign hearing support #iranprotests2020 and elimination of terrorist #Soleimani b/c w… https://t.co/jvFwQqH5iR
75,"Quick recap of 2020 so far:
* US assassinates #Soleimani 
* #WorldWarIII narrowly avoided
* #coronavirus outbreak
*… https://t.co/kEDzagwOEA"
76,"Iranaian Americans at @HouseForeign hearing, in support of #iranprotests2020 and elimination of terrorist… https://t.co/UcWYDHjd62"
77,Back &amp; forth btwn @davidcicilline &amp; @RepBrianMast in @HouseForeign now - Mast asking Democratic colleagues if they… https://t.co/QZTLt4aQW4
78,"February 28, 2020 [now]
US Secretary of State #Pompeo testifies before the House Foreign Affairs Committee at a… https://t.co/1qiJKgjQgW"
79,"Iranaian Americans at @HouseForeign hearing, in support of #iranprotests2020 and elimination of terroriat… https://t.co/sKuSQ1hZzv"
80,"Iranaian Americans at @HouseForeign hearing, in support of #iranprotests2020 and elimination of terroriat… https://t.co/Wb3KjpjcpK"
81,Congressman Levin showed an unmarked map of the world to Sec. Pompeo asking him to point out which 4 embassies in w… https://t.co/uk8AeKgQDV
82,"@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul @davidcicilline @StateDept @RepBera @BradSherman @USRepKeating ""… https://t.co/7IqhoFFwx5"
83,"@RepGregoryMeeks @USRepKeating @SecPompeo @RepAnnWagner @RepSusanWild: ""Do you think that the strike by the Iranian… https://t.co/o0mEnX7y3A"
84,"Sec. #Pompeo is extremely annoyed for being asking about inconsistencies of administration’s statements on #Iran,… https://t.co/mziFPx6QUc"
85,@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul @davidcicilline @StateDept @RepBera @BradSherman @USRepKeating P… https://t.co/x2P6LAUBlK
86,@atrupar @RepDeanPhillips #Democrats playing politics again—even bringing up #Soleimani !!! THESE PPL ARE SICK!!!
87,@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul @davidcicilline @StateDept @RepBera @BradSherman @USRepKeating R… https://t.co/NYlYZ2aWu0
88,President @realDonaldTrump should Democrats quarantine themselves who met with Iranian Foreign Minister Mohammed Ja… https://t.co/LVTRAbHxz8
89,@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul @davidcicilline @StateDept @RepBera @BradSherman @USRepKeating F… https://t.co/J6FSKcg0sc
90,"@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul @davidcicilline @StateDept @RepBera @BradSherman @USRepKeating ""… https://t.co/MVmoQALg6L"
91,"@WantSolutions @LisaMon67368400 @CNN Russia and Turkey are about to declare war on each other. 
Killing #Soleimani… https://t.co/LsTCw2KkAI"
92,"We're now halfway through the two-hour hearing on the legal rationale for the #Soleimani strike, and no member has asked about it."
93,Democrats have lost their f’ing minds. They are fear-mongering America. @SecPompeo should walk out of this circus!… https://t.co/0iHEBnjbnf
94,"Listen to the webcast with @nargesbajoghli, who conducted ethnographic research with the Revolutionary Guards in Ir… https://t.co/T7skKsyoNj"
95,"Iranaian Americans at @HouseForeign hearing, and their families in Iran R more safe by elimination of terrorists… https://t.co/xOyJ64oQ5Q"
96,"@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul @davidcicilline @StateDept @RepBera ""They recognize with which t… https://t.co/YCGKA691hK"
97,"Asked how #Iran behavior has changed since the killing of #Soleimani, @SecPompeo says that’s best for a classified setting..."
98,"#NationOfIslam Leader and Hitler Admirer #LouisFarrakhan: Mr. #Trump Killed ""My Brother"" #Soleimani-Geller Report N… https://t.co/yy4WMrSmZl"
99,@RealCandaceO does have a point.  #Fear #fearmongering #DOOMSDAY #coronavirus #Soleimani #WorldWarThree https://t.co/fKuAoaZ4Lu
100,"“His death was a deescalatory measure,” @SecPompeo on killing of #Soleimani."
101,@SecPompeo @HouseForeign @RepEliotEngel @RepMcCaul The Trump administration will not appease the enormous threat po… https://t.co/6zWKCFTvla
102,@SecPompeo @HouseForeign @RepEliotEngel Ranking member @RepMcCaul says the president acted with enormous restraint… https://t.co/hCpXY7O4pD
103,"@SecPompeo @HouseForeign ""It shouldn't have been so difficult to get you here,"" @HouseForeign Chair @RepEliotEngel… https://t.co/OIErNu8LN9"
104,"LR @RepMcCaul: “If President @realdonaldtrump had not made the bold decision to strike #Soleimani, Iran’s mastermin… https://t.co/qjec0eBt5V"
105,"""Putting the Lie to an Iranian Fable,"" Shimon Shapira's new article, published in @aminterest. Before Qasem… https://t.co/FccNYzeE2M"
106,Republican Rep Michael McCaul says #Soleimani strike was justified because the Iranian general had “organized a ser… https://t.co/nbL9sXJUWN
107,Let’s get this straight. #Trump has Jinxed 2020 at beginning by assassinaton of Iranian General #Soleimani https://t.co/h8QcYGpjva
108,"#Pompeo to face House panel on US killing of Iran's #Soleimani
https://t.co/jT7z3zaatB"
109,"It's Friday the Dems / Media are wishing for American deaths again so they can attack Trump

They wanted the econom… https://t.co/I8BMJKD7Qw"
110,"#Pompeo's remarks today on #Iran &amp; #Iraq.
He will call death of #Soleimani a ""deescalatory measure"" &amp; ""[t]he limite… https://t.co/TWsyg3Q6N8"
