,text
73,"@ChristianPost You people like to talk, sing , and chant to, and dance for something that doesn't even exist. You e… https://t.co/4EgbciXR0r"
74,"An entertaining good read about family! Order ""Tapestry of Family"" now. #SylvieDParris #romance #fiction #humor… https://t.co/dAkwM3EK4Z"
75,"The phrasing in this tweet is a low blow, even for a woman like @amjoyshow with a history of anti-gay bias. I am sh… https://t.co/57XPvtxXVM"
76,Dojore 5 x Rainbow Silicone Wristbands. Stretch Multicoloured Bracelet Bang... https://t.co/4bl6y50KPu via… https://t.co/e8ogQuGbNR
77,Pack of 45 Mini Resin Rainbow Stripe Buttons. 12mm Dress Maker Fasteners. LGBT PRIDE https://t.co/QPt4MupsXx via… https://t.co/jlxoC9qHdv
78,Pack of 45 Mini Rainbow Stripe Resin 13mm Coat Buttons. PRIDE LGBT https://t.co/WEvOXkq3JJ via @Etsy #gaypride #lgbt #rainbow #loveislove
79,Santiago gazed at the young man with yearning growing in his heart until he ached. He named him “dear heart” so tha… https://t.co/ATcrFnE4C8
80,"Happy #screenshotsaturday! 
Here's the concept art to the finished product of a scene from Ace in Space!
Info:… https://t.co/OX7kkh48KB"
81,Dojore Small Rainbow Hand Waving Flag. Game Supporter Car Travel Banner Gay... https://t.co/b8CVxW3nbZ via… https://t.co/gbDFqgxnQJ
82,Drinking some apple juice while playing minecraft on https://t.co/qsfFHFugvr #Twitch #Minecraft #PC #MineSaga #Autism #LGBT #Transgender
83,“#Peace” WILL lead to an increase in persecution of vulnerable minorities by the #Taliban who will clearly see this… https://t.co/rRiG0IY1Ji
84,Houndstooth upon houndstooth. Saturday writers meetings at the LGBTQ Center in NYC. Current goal: find a profession… https://t.co/kAKTDl9q9B
85,Check out 1 x Small Rainbow Hand Waving Flag - Game Supporter Car Travel Banner Gay Pride   https://t.co/wEATES9XeM… https://t.co/pRTH2NzdnE
86,https://t.co/0T7AHuU9S6 Below Her Mouth - Natalie Krill UnCut #lgbt #bisexual
87,Delighted my motion on the establishment of a Fianna Fáil LGBT Network passed today at national council. The fight… https://t.co/woFDTBMhO2
88,"Great thread to better understand the complexity of gay marriage within the conservative movement. 

Thank you Mr.K… https://t.co/JFGZPdYan3"
89,"Forced to fake their own deaths in 1992, the men have lived new lives for over eighteen years.… https://t.co/vRTs6Ynd73"
90,#EVENT: @RPlaceSeattle Presents MARCH DRAGNESS featuring Miss Sherry Pie (@SherryPieNYC); #DragRace #TIX #Seattle… https://t.co/vjMsqjvs2P
91,"Prominent Imam in Ghana appears to threaten #LGBT+ conference by saying ""We will not allow them to even step foot h… https://t.co/2cECAElmQm"
92,Did you manage to do much for #LGBTHM?  I’d love to learn more about what you did.  Please share.  #lgbt
93,"Maria (they/them), Hex (he/him) and Jeremy (he/him) ✊🏳️‍🌈💖💕
#5KKHMTK5 #Maria #Hex #Jeremy #art #cartoon #LGBTQ… https://t.co/vWzYoDGKVF"
94,"Saw this at @Spencers and wanted to get it so bad. Why must I be broke?!?!?! 😭😭😭😭
#pansexual #lgbt #pansexualpride… https://t.co/uwE0263yyP"
95,https://t.co/ScWULIBelK had to fix the link! #rpgmaker #RPGツクール #IndieGameDev #indiegame #gamedev #LGBTQ #LGBT
96,It's time for the release of the second game for my triple release spectacular! Come one come all and let's play… https://t.co/7ilwJQ9yDl
97,@xxxBJFrazier @Chrissy_Clarke @JustinBrimhall @dw_harvey @er_mercer @TanyaPacker2 @LaikaAndYuri @arjungwriter… https://t.co/i7wwfA4p9y
98,"🔥Demon Pride lapel pins stretch goal?🔥

Pledge now and let's see if we get there!
https://t.co/1a6NvaSe9t

#LGBT… https://t.co/4RwzBetYTI"
99,Will Other States Follow Washington? https://t.co/86w2vWMsVU #GayPanic #lgbt #lgbtequality #UnitedStates #Washington https://t.co/17W5ITzF6F
100,#JeffSessions is an enemy of the #lgbt cause! Even though #trump cast him out...he comes back to kiss up by spewing… https://t.co/biShSess0Z
101,"People are complaining about this, including fellow gays. 

This is the most realistic shit on earth! 

An AG, who… https://t.co/qqXvQVeCpT"
102,"#ICYMI- A great #LGBT #tobacco #cessation program- It worked so well in #SanFrancisco, why couldn’t we replicate in… https://t.co/gB9Aj09JR3"
103,Venue Owners - Add your events to our Whats On Guide - https://t.co/Uo56DD3rXF #Gay #LGBT
104,.@MikeBloomberg Apologizes For Calling #Transgender People 'It'; Says He Backs Transgender Rights… https://t.co/bJaWXSCAZV
105,The Mormon Church Continues to be Horrible to Trans People https://t.co/IUC1WVPGPp via @YouTube #transgender #exmormon #lgbt
106,"In search of #LGBTQ #volunteers for an anonymous online #survey regarding #life in #Montreal2020

Any volunteers?… https://t.co/oXuJpED6S8"
107,"Ha, very good #LGBT https://t.co/yrxfns6O40"
108,When sisters Maddie and Liv leave school at the end of a stormy day in September they have no idea what chain react… https://t.co/FF6pqfN8I7
109,"I made my first tiktok, follow and like ☺️❤️ @tiktok_us #TikTok #lgbt #bisexual https://t.co/e9SB4tOpvm"
110,Report violations against #LGBT+ people in Iraq by reaching out to us. https://t.co/Fh8t2UdfC2
111,"Q: What's another name for lesbian cavemen?
A: troglodykes
#LGBTQ #LGBTQof2020 #LGBT"
112,"Please #vote! We have made endorsements! 

✅ District Attorney: Jackie Lacey
✅ Supervisor #2: @HerbJWesson
✅ City C… https://t.co/nmuQMyyszT"
113,Can’t believe I haven’t seen this until tonight! Well done Neil &amp; Lloyd 👏🏼 @lemfilms can’t wait to watch Sam. You g… https://t.co/IKvvXauZeu
114,Waiting to get picked up. #bored #LGBT https://t.co/wKERaSs080
115,"""This study means not just understanding our community, but affirmation: You do exist.""

A @UDelaware is using full… https://t.co/YNgicQCwKh"
116,Transitioning is the hardest thing I've ever had to do. #transition #ftm #journsy #trans #transman #transgender… https://t.co/HNnthJ8VJh
117,@RepSeanMaloney Thanks this is heartfelt and prayers for the FAMILY AND FRIEND'S FAMILY MATTER'S #LGBT IS NICE. TRU… https://t.co/2Lva5MZSb6
118,"#OnTour with @SDSXXTours | #SilverDaggerBookTours

~~🕮🕮~~#BookTour &amp; #Giveaway~~🕮🕮~~ 
EXTASY BOOKS / DEVINE DESTINI… https://t.co/VHd5UyQBaC"
119,Cant use it personally bc nah but #LGBT #Pansexual #genderneutral https://t.co/DQppp1rfPu
120,We stand on the shoulders of giants. It’s dispiriting to see people forget this and to glibly jettison an entire gr… https://t.co/B7U3U5qt1k
121,Was it censored? Or did Disney do the usual and make the scene with this type of character so short that it is easy… https://t.co/4DQpT70s8o
122,"This is crazy, right? Calling all #lgbt people to help us out: We're fighting for a small show (#WynonnaEarp) and t… https://t.co/o88t2RRfu4"
123,"Just a queer, gay, non-binary boy. ❤🧡💛💚💙💜 #queer #gay #nonbinary #LGBT https://t.co/sB4sgKpIQz"
124,#EVENT: @RPlaceSeattle Presents MARCH DRAGNESS featuring Gigi Goode — Silent ‘E’ — (@TheGigiGoode); #DragRace #TIX… https://t.co/w4EuDZSnet
125,"Have a great day guys! 
Always believe in a better tomorrow and pray for the best each and everyday. #model… https://t.co/ShP2VKTRFB"
126,Happy to hear about this swing back in the right direction. #LGBTQ #LGBT https://t.co/DTZaMndIGG via @postandcourier
127,"A cute couple.. 💚💜
—-
#Artemis #Sirus #LGBT #relationshipgoals https://t.co/45q5xU34k1"
128,"Join us for our Sunday Celebration at 10:30 AM! 

You’re welcome here.

#sarasota #venicefl #bradenton #christian… https://t.co/XRQi1mza3k"
129,Happy Saturday.✨🤍 #lgbt #LGBTQProud #LGBTQof2020 #lgbtq #loveislove https://t.co/pA2K3CIkVf
130,"A more casual Sirus 💜
—-
#Sirus #MyOC #digitalart #Procreate #LGBT https://t.co/snh8Rbbi1N"
131,**Now in Kindle Unlimited** The entire Adrien English series celebrates its 20th Anniversary. ;-)… https://t.co/60U0zLwn67
132,Feeling #LGBT cool. 😎💙 https://t.co/K4A9Md754X
133,"@JLBKL @JoanMcAlpine ""It is the imposition of the minority upon the majority which I object to.""
Of *course* you do… https://t.co/fDbPRwNOXa"
134,"&lt;3 Vicky

#thisisthe60sbaby #sunsets #sunrise #clouds #ocean #photography #poetry #art #love #life #family #music… https://t.co/rA7JvyKSDE"
135,#Win $50 Amazon #BookTour #Giveaway #BookBoost #MM #LGBT #Paranormal #Romance #WarringHeartsTrilogy #JAshburn  https://t.co/U5COVklri1
136,Save 20% on our Principal membership and receive M&amp;S Belgian Chocolate Collection. We have EXTENDED our Valentine’s… https://t.co/8Fh2zwQ8Gn
137,"February 29, 2020 at 12:00PM What are you up to this afternoon?! #checkup #afternoon #checkin Have you checked out… https://t.co/qtD1aXb3WZ"
138,@emilyhewertson I also think there's a sizeable opinion on twitter that doesn't like the traditional 'man and women… https://t.co/QyMHOG2dFy
139,Bette Midler To Introduce Ben Platt At .@GLAAD Media Awards In New York City https://t.co/YcO9ZWAJzK #lgbt #MediaAwards #BetteMidler
140,"The second Diocesan Mass for #LGBT+ Catholics, friends &amp; families, celebrated by Fr Brendan Callaghan SJ
Saturday 7… https://t.co/HWvMoMcPRt"
141,Wilton Manors' Gay Mayor .@JustinFlippen Dies Suddenly https://t.co/LhUUTTlV4r #lgbt @WiltonManorsCity #RIP
142,"Gay groups still cannot participate in #StatenIsland St. Patrick's Parade
https://t.co/81NJe7bajh
#LGBT… https://t.co/7RtS47BtW4"
143,"Video: Children's book 'And Tango Makes Three' read aloud.

#LGBT 🏳️‍🌈 #NoOutsiders #penguin 🐧 #childrensbook… https://t.co/UWaCZvjT0E"
144,"News from September 2019 🇬🇧: Book about gay penguins raising a chick could make children gay, says parent 😂

#LGBT… https://t.co/z4ERsnuKTc"
145,HAPPY #LeapYear EVERYONE! GOTTA love my #Aquarius POWERS being extended by another day this YEAR!! 😅😂❤️🧡💛💚💙💜🖤 Hope… https://t.co/ayuIzWbz8M
146,"It appears I have romantic types

Men: stoic, reserved until overcome by a singular passion, polite, moral, honest,… https://t.co/J7mUcioiyQ"
147,"It really is hard to find work when you’re trans. My confidence is falling hard. 

#transtwitter #lgbt #LGBTQClub #jobhunt"
148,"Sanders staffer ran secret Twitter account, called Pete product of ‘botched conversion therapy’ #Bernie #LGBT https://t.co/S5QRiYytEr"
