,text
96,"The @SenSanders @JoeBiden debate is far more detailed in response to #Coronavirus #covid19 than anything coming out of the Trump administration

Good job

#DemocraticDebate"
97,"Biden is using war-like language talking about #coronavirus. What he doesn't understand is America is at war with our failed infrastructure, not this specific virus.
#DemocraticDebate"
98,Thankfully before I ventured into film and television I had a career in childcare.  Time to dust off the ol educating shoes and make sure my nieces and nephews don't get dumb during this pandemic #Coronavirus
99,"I left work Saturday morning knowing tonight would be the day/night everything changed and it already has. We’ve gone from 2-3 rule out patients to 10 admitted rule out patients, and this is just the beginning ... #covid #covid19 #coronavirus"
100,"Areas in #Canada with cases of #COVIDー19 as of March 15, 2020. #coronapocolypse #coronavirus #Ontario tops with 142 cases
https://t.co/hvRAiulJ8R"
101,"Excellent use of Social Distancing
#coronavirus https://t.co/2Rldp5tVnf"
102,"The more precautions President Trump takes to protect Americans, and especially those at high risk of fatality, the more panicked people become. I’ve never witnessed a President do anything to slow the spread of a virus like this before. 

 24/7 + MSM= #Coronavirus #fearmongering https://t.co/OHbAkpYCtT"
103,Ok a few weeks ago I had a heart attack and the outcome was I had a stent fitted and I now feel fine but the meds I think are making me a little breathless. Am I now in the at serious risk group regarding #COVID19 #coronavirus #HighRiskCovid19 #Heartattackandcoronavirus
104,"#StayAtHome
&gt; Idea 27:
Discover and watch curated video series and lectures from top design schools such as the School of Visual Arts, a leader in the education of artists, designers and creative professionals for more than six decades
https://t.co/V2d56bs23p
#coronavirus https://t.co/tVNVr872tb"
105,"@anonymo62361118 @zlj517 @teddyboylocsin Did America cover up H1N1 &amp; arrest docs for speaking about it? This is not a double standard, moron. The #CCP covered up #coronavirus and let people go home for new year, massive mistake by fat #XiJingping. Remember the SARS cover up? The dictatorship has a history of deadly lies"
106,"International cooperation, one global approach guided by science, is crucial to fighting #COVID19 #Coronavirus, not for scapegoating China or Chinese people (and to set aside our criticism of China's revisionist govt., as repressive as they are). #DemDebate #Bernie #Biden"
107,Bernie doesn't answer what sanctions should be imposed on China for #coronavirus  #DemDebate
108,"Anguished so many in my profession saying, as @jaketapper #DemocraticDebate, that #coronavirus developments unimaginable week ago. Medical researchers modeled exactly what would happen w/o bold response. #media failed watchdog role #Africa being more aggressive. See @allafrica"
109,"@JoeBiden is right, we call our USA military to handle crisises here at home first.
If not here, why anywhere else?Our soldiers would be protecting their families 
@BernieSanders it’s our military that would fill in the gaps. You are not ready to be CIC ! #DemDebate #Coronavirus"
110,"I’m sorry but what consequences are you suggesting towards China, Biden? #DemDebate #coronavirus"
111,"“What happens to the workers?""

“What about the homeless?”

“What about the most vulnerable?”

@BernieSanders is asking the important questions in this #coronavirus crisis. 

Thank you, Bernie.

#DemDebate #DemocraticDebate"
112,"BREAKING: Guns N Roses reclaim title as ""The Most Dangerous Band in the World"" @gunsnroses 

Guns N’ Roses Play Festival Despite Coronavirus Fears https://t.co/QfQF6gA4D8

#COVID19 #Coronavirus #CoronavirusPandemic #Coronapocolypse @GNR_Fans @teamgunsnroses @paradisecity"
113,"but they didn't, they'll still blame everything on #China
#COVID19 #CoronaVirus #SARSCoV2 #Pandemic #Epidemic
#Xenophobia #Quarantine #Stigma #Politics"
114,"Tally after holding the #COVID19 pager Sunday so far:
11h phone screen time, 270 txt messages, 2h of phone calls, 1.5h searching medical records, 19 💩emojis, infinite anxiety #coronavirus #covid"
115,"This website and sites relying on the data are hacked/broken... DON'T PANIC!
#coronavirus
Broke:
https://t.co/7zOd6b8wGJ
https://t.co/jNLkYP3i0F
Woke (still reliable):
https://t.co/2SIWobWCIS https://t.co/sfhj3yY0mB"
116,What about the 11.4 million Australians with chronic illness according to 2019 #AIHW report? #coronavirus #auspol #AuspolSoDumb https://t.co/bsnslWdYXb
117,"@joebiden wants to save lives during the #coronavirus because it is good optically. If you were so concerned about lives, you'd care about peoples healthcare at all times not just during a pandemic #DemocraticDebate"
118,"UFRGS cancelled lectures for three weeks

#coronavirus 🦠"
119,"@joshshepperd You can also say the same thing for Trump, considering the #CoronaVirus."
