,text
48,"@KerryKennedyRFK So proud to be an Italian American. Love where my family came from and where my family decided to settle. Stay strong Italy, we are praying for you!  #maga #kag #trump"
49,#FareedsTake needs to not look at testing but focus on the number of deaths. The USA has one of the lowest ratios of deaths to population. #Lucky or #Trump. https://t.co/jdF8FZBGAR
50,Go vote for #Trump.....get lost https://t.co/QEBukVgAkC
51,"@admiralmpj @BBudd8 @BernieSanders #Sanders can't fix anything.He can ShowBoat aggressively on a debate stage.Behave like a mice in the SenateTrial.He could have spoke to #GOP's in the #Senate the importance of impeaching #Trump.All he can do is vote in the Senate as an Independent &amp; regurgitate over the same ole, https://t.co/tApDH2AKJz"
52,"some say that #trump is the #antichrist, dont be silly. the bible says the antichrist will be liked by many

hahaha"
53,@ScottMStedman @datblaxican #Trump lost valuable time that could have saved lives .. this has to be a crime!
54,"This just keeps on getting worse, let's wait for the denial #COVID19 #TrumpVirus #Trump https://t.co/YXVCMoQJLv"
55,😳Wish I could say I was surprised but nothing surprises me anymore w this crime family’s treatment of the office of the president. Now he’s cost ppl their lives. @DonaldJTrumpJr  @realDonaldTrump #coronapocolypse #TrumpPlague #TrumpVirusCoverup #trump @IvankaTrump #CoronaVirus https://t.co/mQBwAlcy1R
56,"If we weren’t in such serious times it would almost be funny, cute, or quaint to read the #Trump boys tweets on behalf of supporting their father. It’s “noble” but really guys, your father sucks at his job and the 💩 you two put out there is very “junior high” quality."
57,"I hate Trump to the core but I'll vote for #Trump before I vote for #JoeBiden.
The sheer arrogance of the #DNC, #CNN and #MSNBC is the reason. 
They won't even bother to call out lies anymore.

#DemExit #NeverBiden"
58,#trump’s utter incompetence— yes. @WSJ @foxandfriends @foxnewsalert @foxnewstalk  @foxnewsdesk @foxnation @foxnewsradio https://t.co/ENPNVDKuXj
59,LIES. #trump LIES. https://t.co/UQvbZCnod0
60,"Aside from a #ToiletPaperPanic not much. But then again I live in a #MAGA led area so the majority of the population here gets their news &amp; info from #Facebook, #FoxNews, &amp; #Trump. #Iwishiwaskidding https://t.co/PG8TAXZAXW"
61,"@realDonaldTrump supporters are, um, well, racist.

#Trump
#TrumpPlague https://t.co/fUsptIdIX6"
62,Analysis: Trump says the pandemic crisis was 'unforeseen' -- but lots of people foresaw it ⁦@realDonaldTrump⁩ a pathetic liar.  #TrumpLiesEverytimeHeSpeaks #MoscowMitch enables #trump because they’re both #selfish #Crooked humans  https://t.co/WFNdRX79Uu
63,"Just one of #JoesLies 
Change your mind the last hour like you have on #thehydeact #fightfor15 or anything else prog. But lie? We do not need another #Trump
https://t.co/BQ3TOYdu8d"
64,"We all know #Trump lies

So just take the opposite of what he says and you'll have the truth

Btw...it's on video and in his budget to cut #SocialSecurity and #Medicare

#JoeBiden will save #Entitlements

#DemDebate https://t.co/OLj6sy6w9k"
65,"@elevation_wrshp The fact that Loki was not a disciple of John the Baptist. 

That was in the message today along with him wearing the black ring. 
#asktheq #qanon #maga #trump #TheGreatAwakening #WWG1WGA #PatriotsFight #WalkAway #TheStormIsHere #Trump2020 #KAG2020 #whoisQ #asktheq"
66,WTF is #Jonathanturley bleating abt @JoeBiden’s emphatic commitment to put a #BlackWoman on #SCOTUS? Did #trump not say he’d appoint ONLY conservative judges from #FederalistSociety list who’ll overturn #RoeVWade? GTFOH. Has the American Bar Assoc not 👎🏼👎🏼👎🏼 his judges? 🙄🙄
67,"@JoshuaPotash I'd guess reality? We're already 10X that. 35000. If u don't test u don't know, right? Plus #Trump &amp; team r being intentionally vague w/ words like ""soon"" as a timeline. That's not on my calendar, is it on anyone's? Our part in stemming this is #SocialDistancingNow. #COVID19"
68,"This is emblematic of how #Trump is endangering Americans - everything is too slow and too little. Why not allow federal employee telecommuting like everywhere else?: 
https://t.co/hy2OWwkazw"
69,"@LunaucPerkon @Lovetherain77 @Alyssa_Milano @JoeBiden But is he CONTINENT?!

#Trump will crush (CCRRUUUSSSSHHHHH) whatever stiff the Dems nominate, but this is pathetic.

It's tough to watch.  You DO realize that there are younger, smarter, more accomplished people currently quarantined in nursing homes, right?"
70,"@SheriffClarke David A. Clarke's advice for combating bubonic plague &amp; Chagas disease... lie down w/fleas, &amp; #Trump hotel bedbugs. Raise rats."
71,"Do you want me to undress online? I have a Beautiful Body (.) (.) 
 #trump #boston https://t.co/43LYgpyA3I"
72,I have been drinking the past 5 days straight. It's just so hard to handle all the ignorance and evil right now. And the virus itself isn't even the real problem for me. It's the traitors in charge of our country. #trump #kushner #greed #Karma #coronapocalypse #COVID19
73,"#Biden has followed #Trump's tactic, the more lies you pack, the more it is difficult for your opponents to pin down the lies."
74,@Fudamentals @NickKristof @IPM_HQ Yes nightmare  in which some could be prevented by #testkits and #trump https://t.co/msAVn7MRb1
75,@ABCPolitics @ABC I Like #JoeBiden2020 he seems like the kind of leader that would spend more time in the situation room than on the golf course. His response on the #CoronavirusOutbreak would be powerful and effective unlike #Trump's addled approach. https://t.co/fH9tbH817d
76,"US Gov made rich offer for world xclusive rights to coronavirus vaccine via #Trump and his Virus Taskforce (#Jared #Kushner in charge) of course have links to Oscar, a medical services enterprise, owned by #Josh #Kushner, Jared’s bro. This stinks badly. https://t.co/12SQmXy7WQ"
77,"We need to support Senator Bernie Sanders. Healthcare needs to be available to all, especially now. #BernieSanders #trump #healthcareforall"
78,@GHS @WHO It’s warm in Africa and they still have #CoronaVirus . #trump was telling everyone that it will go away in April when it get warm
79,"@HawaiiDelilah **Putin lights up a cigarette and enjoys his moment...

#Trump #Putin #TrumpIsAnIdiot #CoronavirusOutbreak"
80,"@StanleyCohenLaw Ahhhhh of course! With help from 'somebody' who would then deny it to #Palestinians #Syria etc

No better time to say it but Mr Cohen, You're a hero 😉

#CoronaVirus
#Trump"
81,.. #Trump doctor CLEARS him of #Covid19...allegedly... [DETAILS] https://t.co/fHl0gF2stY via @zamzhinga
82,"Hes not.
Actually there isnt even any hype. 
He will not beat #Trump. 
The Patriots have spoken. https://t.co/woOn7ijmNT"
83,@BarbMcQuade @DebraMessing IOW he assured the Russians that #Trump would make good on the election-interference-for-sanctions-relief quid pro quo Jr. entered into at the June 2016 Trump Tower meeting. Of course Flynn had to lie about that.
84,Trust The Plan #WWG1WGA #TrustThePlan #QAnon #GodWins #Trump #POTUS https://t.co/EcBCldP8hk
85,"#Trump needs to fire #Wray and the rest of the #FBI higher up, Obama hold-over swamp!

@realDonaldTrump 

#KAG2020LandslideVictory https://t.co/9WLa1bFYoy"
86,"@1Craftikittti @Aloha2Trump She's right you know!  The #Democrats and ""THEIR"" MEDA PARTNERS see EVERY crisis as a new Destroy #Trump #Narrative to fit their #Agendas https://t.co/V9EuTc2saQ"
87,“If Hillary Clinton can’t satisfy her husband what makes her think she can satisfy America.” -Donald Trump #POTUS #DonaldTrump #Trump #TrumpProtest
88,"@bennyjohnson @KamVTV Clearly seeing the quality of choices #Dems have to offer in #Election2020, helps you to understand why #Dems only option to gain political power is to destroy #Trump w/made up charges, attacks, lies, twisted truth at every opportunity, #Leftist #Media is fully onboard to assist."
89,"@KashJackson2018 @HillaryClinton Ya, WHY didnt he and WHY didnt the #MainStreamMedia talk about it in the same way they are today against #Trump"
90,I doubt #Trump has a “pastor” given he is not a #Christian  https://t.co/kQc6V3nznD
91,"@charliekirk11 He'll choose between 3 women - Hillary, Warren or Mitchell Obama &amp; he'll probably nominate Kamala Harris for supreme court. Luckily #Trump will beat the hell out if #DementiaJoe so we'll never have to see any of this. #JoeBidenHasDementia &amp; he should've never started running."
92,"😂😂😂 chrisdelia
This motherfucker flicked it lmaooooo. #trump @realdonaldtrump @KINGDJTRICKS https://t.co/TDlLXUYOy2"
93,@Reuters #trump loves gold. He must be happy 🖕🏼
94,"Follow me = WE FOLLOW BACK
500 Follower in 30 min
🥳🥳🥳🥳🥳🥳🥳🥳🥳
#sufrere3
#followback #followme #ifb #COVIDー19  #china #tiktok #GalaxyS20 #coronavirus #Wuhan #Trump #TrumpCrash #TrumpInIndia"
95,"Wild Scarabs Slot Set at the peak of Egypt's golden era, Wild Scarabs showcases impressive artistry with symbols produced in rich, jewel-toned colors. Beautifully housed against the mysterious Egyptian skies, this beloved slot https://t.co/STHX2uVtPq #bsv #slots #crypto #trump"
